author_id,rating,helpfulness,total_feedback,total_negative_feedback,total_positive_feedback,Date,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
5478482359,3,0,3,2,1,12/17/2021,mediumTan,brown,oily,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
29002209922,5,1,2,0,2,6/7/2021,lightMedium,brown,dry,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
7391078463,5,1,2,0,2,5/21/2021,lightMedium,brown,combination,blonde,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
1766313888,5,1,13,0,13,3/29/2021,mediumTan,brown,combination,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
1532951999,5,1,5,0,5,9/20/2020,lightMedium,brown,normal,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
2168991896,5,1,10,1,9,8/20/2020,lightMedium,brown,combination,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
5240639417,5,1,15,1,14,8/1/2020,fair,blue,combination,blonde,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
1599604155,5,1,4,0,4,6/7/2020,light,hazel,combination,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
11792701494,5,1,12,1,11,4/3/2020,lightMedium,brown,combination,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
1546663264,5,1,10,1,9,3/10/2020,tan,brown,oily,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
5062383766,5,1,2,0,2,12/28/2019,mediumTan,brown,normal,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
8192893155,5,1,6,0,6,8/20/2019,lightMedium,brown,oily,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
1363814875,5,1,6,0,6,8/3/2019,tan,brown,normal,gray,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
12494371485,5,1,4,0,4,8/3/2019,light,blue,oily,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
9217002507,2,1,3,0,3,12/17/2018,fair,hazel,combination,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
2613139670,5,1,2,0,2,12/1/2018,lightMedium,green,combination,blonde,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
9862445019,5,1,3,1,2,11/14/2018,fair,brown,combination,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
7203920173,5,0,2,1,1,9/4/2018,mediumTan,brown,combination,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
2070003452,5,1,3,0,3,8/27/2018,light,brown,combination,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
931252777,5,1,1,0,1,6/18/2018,light,brown,dry,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
1802510473,5,1,7,2,5,4/21/2018,deep,brown,oily,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
2665837304,5,1,5,1,4,4/21/2018,mediumTan,brown,normal,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
11244262516,5,1,6,1,5,1/6/2018,tan,brown,oily,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
5461013969,5,1,1,0,1,12/13/2017,fair,brown,combination,black,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
11131145693,4,0,1,1,0,12/2/2017,light,brown,combination,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
1500281942,5,1,3,0,3,10/27/2017,lightMedium,brown,combination,auburn,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
5541875726,5,1,2,0,2,9/20/2017,lightMedium,brown,combination,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
8486844166,5,0,4,4,0,9/19/2017,lightMedium,brown,normal,brown,P379064,Lotus Balancing & Hydrating Natural Face Treatment Oil,Clarins,65
6390952503,5,1,13,0,13,5/24/2022,light,hazel,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
32018474315,5,1,13,1,12,5/21/2022,mediumTan,hazel,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1315806011,5,1,7,1,6,4/26/2022,fairLight,blue,combination,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
5086479651,5,1,5,0,5,4/22/2022,lightMedium,blue,combination,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
6033238166,4,1,10,2,8,4/20/2022,mediumTan,brown,combination,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
33016033982,5,0,8,4,4,4/19/2022,fair,blue,normal,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
7502728324,4,0,2,1,1,4/19/2022,lightMedium,brown,oily,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
2726046611,5,1,1,0,1,4/19/2022,lightMedium,brown,normal,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
985008366,5,1,3,0,3,4/14/2022,lightMedium,brown,normal,auburn,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
29444796991,5,1,1,0,1,4/13/2022,tan,hazel,combination,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
12208112493,5,1,6,1,5,4/12/2022,fairLight,brown,combination,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
990454083,5,1,1,0,1,4/12/2022,fair,hazel,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
12308985476,4,1,1,0,1,4/11/2022,light,green,dry,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
28925298249,4,1,3,0,3,4/10/2022,lightMedium,blue,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
507867575,3,0,3,2,1,4/10/2022,light,brown,normal,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
